CUENTA;MONTO;FECHA
8-107-82012-8;789;28/06/2023
4-107-12080-3;1253;23/05/2023
9-105-75927-5;540;06/04/2023
8-101-76395-2;781;06/12/2023
9-107-54072-8;207;25/01/2023
9-109-40013-3;421;05/03/2023
2-105-69785-5;973;01/03/2023
3-109-93959-9;675;28/04/2023
3-104-48132-4;1332;15/09/2023
5-103-55486-9;599;23/05/2023
6-102-37701-4;525;15/11/2023
6-106-18742-1;479;22/03/2023
8-106-23981-4;346;10/03/2023
3-102-27804-4;714;09/10/2023
4-105-44447-8;51;08/12/2023
6-106-71706-1;1398;11/11/2023
8-108-44221-3;590;04/11/2023
6-103-49642-6;1261;08/10/2023
8-102-89904-8;1;26/03/2023
8-108-13137-7;58;11/11/2023
7-107-69245-7;701;07/10/2023
6-105-78280-3;1453;30/11/2023
7-101-69434-5;413;11/12/2023
8-104-48913-2;1473;13/04/2023
8-107-70358-2;1181;07/01/2023
7-106-37046-3;193;04/04/2023
5-107-52521-8;753;08/08/2023
3-104-13577-9;512;23/03/2023
7-109-77387-7;77;31/05/2023
7-101-35294-3;334;30/09/2023
7-103-97408-1;85;11/05/2023
4-104-32701-6;1028;12/05/2023
5-108-96823-9;553;26/03/2023
1-109-36850-6;1119;25/05/2023
8-102-89678-8;768;30/11/2023
5-105-39217-1;925;17/06/2023
5-107-80715-3;118;19/03/2023
9-109-77771-1;370;14/12/2023
6-101-41740-3;1256;03/05/2023
7-105-80523-5;739;06/10/2023
7-102-50859-8;279;05/04/2023
9-107-17568-3;700;18/02/2023
7-106-37046-3;473;30/10/2023
8-109-42887-7;931;10/02/2023
7-102-40624-4;511;18/01/2023
5-109-67021-9;496;08/01/2023
6-102-84514-1;249;14/01/2023
8-108-77359-9;376;05/01/2023
7-102-21532-8;121;16/01/2023
4-104-20247-8;168;23/08/2023
3-104-50059-8;465;13/09/2023
4-104-83692-1;327;05/03/2023
2-105-78996-1;1414;07/12/2023
1-109-51922-4;513;24/02/2023
7-109-26095-6;1391;06/07/2023
1-102-45685-3;553;13/05/2023
7-105-23972-3;293;03/01/2023
8-102-40647-8;121;12/04/2023
9-108-88150-2;814;16/11/2023
6-107-90994-4;292;01/06/2023
8-102-38518-4;1195;05/06/2023
4-106-45900-2;689;28/06/2023
2-109-68979-6;145;26/11/2023
7-109-70825-9;426;31/05/2023
6-106-20062-5;1288;15/07/2023
3-104-50228-2;515;08/04/2023
8-109-86471-7;1117;08/08/2023
8-109-29865-5;1404;24/11/2023
8-109-72793-6;880;02/10/2023
3-109-70793-7;407;06/11/2023
5-108-12526-2;410;09/10/2023
5-108-36821-4;511;25/01/2023
9-106-36097-6;1443;29/04/2023
8-107-17974-4;230;08/12/2023
1-106-32913-1;133;30/05/2023
3-103-38910-1;552;22/04/2023
3-109-28183-6;638;13/05/2023
5-101-17558-5;135;18/01/2023
5-103-76959-1;308;09/06/2023
7-104-83861-9;494;11/12/2023
1-104-69220-5;743;17/05/2023
4-106-87678-7;850;28/06/2023
7-107-35546-5;892;06/02/2023
4-109-92043-9;1044;26/02/2023
4-107-12841-6;431;03/04/2023
1-105-91149-3;379;18/08/2023
7-102-21532-8;497;23/04/2023
3-104-19210-8;309;03/11/2023
3-103-84191-5;1005;16/11/2023
3-104-77451-3;405;24/04/2023
9-107-75506-2;584;20/05/2023
1-105-20069-4;195;16/10/2023
1-107-19463-5;506;06/12/2023
4-101-45178-2;222;18/06/2023
4-101-51631-7;209;17/01/2023
6-109-92236-9;624;02/01/2023
7-106-22840-7;154;17/06/2023
7-109-77387-7;68;11/02/2023
4-106-21446-6;1203;10/07/2023
9-108-67779-1;1267;06/08/2023
3-104-57631-6;1187;02/08/2023
2-103-63889-8;158;02/11/2023
5-105-90277-7;587;26/09/2023
2-106-40751-7;733;25/12/2023
5-107-20167-7;1391;15/08/2023
5-107-52521-8;714;19/12/2023
6-106-38983-5;1364;19/01/2023
3-108-94057-5;327;21/08/2023
1-103-94168-5;1199;13/12/2023
2-108-46218-2;1355;12/10/2023
6-102-55802-4;687;31/08/2023
5-109-54250-1;836;20/04/2023
1-104-86823-1;530;17/07/2023
1-105-46518-4;387;28/01/2023
3-103-14383-9;1249;09/06/2023
3-105-83520-1;116;23/11/2023
6-103-88083-1;254;12/09/2023
8-108-35076-7;869;13/04/2023
6-106-37704-7;730;07/12/2023
2-104-30806-3;0;19/09/2023
8-108-44221-3;545;31/08/2023
2-109-51721-2;929;24/08/2023
3-101-69701-2;769;01/05/2023
5-109-42970-9;549;04/10/2023
6-101-78059-6;1174;22/03/2023
6-105-52440-1;1061;22/06/2023
1-108-58389-5;1018;15/03/2023
4-103-69189-7;1448;02/07/2023
8-107-81278-8;919;24/11/2023
8-103-88962-7;702;06/11/2023
2-104-92357-6;1253;23/01/2023
7-107-43328-2;721;02/01/2023
9-104-20455-6;224;07/11/2023
3-109-70102-6;86;08/03/2023
8-104-45938-4;488;25/11/2023
9-102-50514-9;39;22/02/2023
6-102-36879-4;457;31/12/2023
9-107-12460-3;643;27/06/2023
1-102-47588-7;688;28/08/2023
6-104-29580-4;332;10/02/2023
4-106-85580-8;926;09/04/2023
2-108-46218-2;1427;22/09/2023
2-102-20305-2;14;20/10/2023
4-105-16480-8;163;20/09/2023
8-101-28258-9;286;19/08/2023
3-107-75532-5;308;08/04/2023
3-102-66904-8;978;04/05/2023
7-101-19400-2;1326;04/09/2023
4-108-15651-5;149;21/11/2023
7-101-15958-7;275;03/01/2023
1-108-83878-8;198;18/08/2023
2-102-12573-6;7;05/04/2023
5-109-92627-4;748;24/09/2023
2-105-10407-4;1428;21/06/2023
7-106-52817-2;529;27/08/2023
1-107-74274-7;695;19/06/2023
7-105-83738-1;191;08/12/2023
3-107-75532-5;494;25/12/2023
9-105-31261-2;387;03/10/2023
4-103-41796-1;967;07/10/2023
1-102-88721-8;179;22/03/2023
5-107-79714-4;148;02/04/2023
4-103-64023-9;1245;04/03/2023
6-104-99193-8;814;25/01/2023
6-106-37409-4;1268;14/11/2023
7-108-19817-5;837;19/09/2023
1-105-53772-3;1471;13/12/2023
5-108-41495-4;1443;12/01/2023
5-107-91526-7;1302;03/05/2023
2-104-72264-4;110;19/05/2023
2-107-53175-9;299;29/07/2023
5-108-30055-9;995;12/12/2023
7-106-70565-4;1051;22/09/2023
7-109-26095-6;363;19/07/2023
7-102-48020-9;374;26/08/2023
4-107-19074-3;425;27/05/2023
4-104-41260-9;522;14/09/2023
3-104-57631-6;416;04/06/2023
4-101-43910-4;5;03/05/2023
4-101-64579-3;627;20/03/2023
6-106-15202-9;541;25/12/2023
7-106-26852-3;607;11/03/2023
9-103-70580-2;591;10/09/2023
1-109-92456-7;170;03/02/2023
6-106-18742-1;758;27/12/2023
7-102-54850-2;1129;09/07/2023
5-101-17558-5;1025;31/12/2023
2-105-20549-7;435;06/01/2023
7-104-86194-7;363;10/07/2023
8-104-68902-4;183;05/02/2023
9-105-75243-5;184;10/04/2023
3-107-51797-2;1219;21/06/2023
8-102-28846-1;1126;04/12/2023
7-107-14800-3;1497;22/08/2023
5-103-28471-3;832;03/09/2023
4-103-24679-3;1142;25/05/2023
6-107-80790-9;98;10/09/2023
9-109-57073-5;390;31/05/2023
9-101-20811-6;1049;03/04/2023
7-105-23681-1;171;23/04/2023
5-107-80715-3;1061;13/06/2023
